Country Name;Country Code;2015;2016;2017;2018;2019
Morocco;MAR;7129,69;7109,24;7314,15;7437,64;7514,72
Moldova;MDA;10360,83;10942,55;11651,32;12373,04;13049,51
Madagascar;MDG;1546,77;1565,87;1584,42;1613,1;1647,02
Maldives;MDV;17284,61;17583,85;18058,44;18795,82;19531,19
Middle East & North Africa;MEA;16054,03;16564,64;16561,23;16468,28;16292,83
Mexico;MEX;19332,07;19603,31;19785,91;19993,72;19765,92
Middle income;MIC;10209,58;10567,31;10984,27;11369,25;11671,36
North Macedonia;MKD;15121,12;15541,21;15699,89;16147,73;16660,45
Mali;MLI;2139,74;2198,56;2246,8;2283,71;2321,59
Malta;MLT;39862,53;40476,63;42539,74;43207,27;43707,54
Myanmar;MMR;4268,5;4482,92;4739,91;5029,18;5142,15
Middle East & North Africa (excluding high income);MNA;10218,21;10780,75;10930,16;10789,58;10650,24
Montenegro;MNE;18321,9;18857,9;19745,11;20752,62;21598,91
Mongolia;MNG;11022,96;10940,42;11311,79;11915,58;12316,79
Mozambique;MOZ;1262,61;1273,78;1283,66;1289,74;1281,39
Mauritania;MRT;5127,44;5045,89;5077,2;5042,42;5197,07
Mauritius;MUS;19897,48;20646,93;21415,12;22208,14;22870,29
Malawi;MWI;1027,23;1024,6;1037,55;1042,53;1059,72
Malaysia;MYS;24787,83;25541,64;26661,19;27557,65;28364,49
North America;NAC;57423,2;57892,48;58896,27;60205,15;61131,4
Namibia;NAM;10487,5;10266,75;10050,5;9931,97;9637,18
Niger;NER;1132,33;1151,66;1163,68;1200,97;1224,51
Nigeria;NGA;5514,77;5284,89;5190,35;5155,07;5135,5
Nicaragua;NIC;5630,4;5811,91;6004,02;5694,92;5407,12
Netherlands;NLD;53143,3;54019,8;55264,57;56239,96;56849,38
Norway;NOR;63188,67;63305,6;64255,28;64655,69;64962,26
Nepal;NPL;2911,55;2902,25;3099,31;3252,74;3416,79
Nauru;NRU;11278,35;11167,32;10666,94;11470,59;11582,73
New Zealand;NZL;41229,26;41857,48;42274,41;43167,66;43695,15
OECD members;OED;42089,52;42585,75;43457,64;44209,81;44697,94
Oman;OMN;30152,21;30190,17;29082,42;28593,08;27299,41
Other small states;OSS;22724,34;22852,29;22678,98;22687,1;22712,4
Pakistan;PAK;4278,35;4421,67;4571,41;4739,77;4690,48
Panama;PAN;28436,36;29337,88;30454,76;31049,18;31458,69
Peru;PER;12110,27;12403,69;12506,53;12782,38;12847,89
Philippines;PHL;7300,14;7705,05;8120,84;8516,09;8908,18
Palau;PLW;18352,4;18275,02;17841,26;18462,78;17579,46
Papua New Guinea;PNG;4086,93;4225,81;4288,97;4193,36;4354,85
Poland;POL;27885,81;28774,27;30160,49;31775,26;33221,54
Pre-demographic dividend;PRE;3568,44;3575,68;3538,31;3520,49;3532,44
Puerto Rico;PRI;34311,03;34539,59;34363,75;34116,1;34517,61
Portugal;PRT;31218,14;31949,21;33150,21;34149,4;34961,94
Paraguay;PRY;11810,43;12157,8;12594,34;12850,46;12685,11
West Bank and Gaza;PSE;6048,98;6438,93;6401,74;6318,21;6219,96
Pacific island small states;PSS;6941,8;7073,97;7291,12;7412,23;7321,7
Post-demographic dividend;PST;45970,17;46549,49;47528,83;48411,48;49041,65
Qatar;QAT;95965,18;95601,99;91738,85;90970,22;90043,93
Romania;ROU;23954,4;25225,26;27230,52;28616,6;29983,56
Russian Federation;RUS;25566,29;25568,91;26005,98;26667,73;27043,94
Rwanda;RWA;1889,16;1950,53;1975,25;2088,75;2226,86
South Asia;SAS;5139,88;5467,82;5769,18;6048,42;6224,51
Saudi Arabia;SAU;48921,23;48627,15;47309,13;47596,74;46962,15
Sudan;SDN;4191,82;4284,81;4362,58;4160,6;3958,47
Senegal;SEN;2966,45;3067,66;3203,9;3314,79;3394,87
Singapore;SGP;89366,31;91075,54;94940,97;97744,95;97341,47
Solomon Islands;SLB;2520,67;2598,57;2665,98;2699,74;2662,8
Sierra Leone;SLE;1551,82;1610,55;1642,61;1663,29;1718,28
El Salvador;SLV;8143,02;8309,63;8454,06;8615,58;8775,99
Serbia;SRB;15627,95;16234,5;16664,06;17508,53;18351,27
Sub-Saharan Africa (excluding high income);SSA;3786,86;3747,99;3751,97;3755,76;3758,33
Sub-Saharan Africa;SSF;3809,23;3770,87;3775,28;3779,49;3782,33
Small states;SST;20493,51;20552,46;20448,5;20509,55;20551,12
Sao Tome and Principe;STP;3794,49;3878,72;3952,89;3993,35;3969,56
Suriname;SUR;17382,76;16249,05;16372,58;16634,47;16524,76
Slovak Republic;SVK;28767,6;29343,28;30189,4;31283,76;31965,76
Slovenia;SVN;33912,93;34969,77;36622,2;38089,54;39037,93
Sweden;SWE;51091,59;51498,35;52113,83;52516,45;52608,71
Eswatini;SWZ;8304,61;8321,11;8408,45;8521,21;8621,83
Seychelles;SYC;25609,29;26421,94;27242,66;27996,77;29223,47
Turks and Caicos Islands;TCA;26691,62;28174,48;27061,32;28162,38;29253,38
Chad;TCD;1857,11;1687,05;1587,03;1576,32;1579,63
East Asia & Pacific (IDA & IBRD countries);TEA;11748,18;12406,57;13123,15;13870,19;14568,13
Europe & Central Asia (IDA & IBRD countries);TEC;20926,71;21203,34;21951,41;22588,91;23017,62
Togo;TGO;1447,23;1489,68;1516,53;1552,86;1596,64
Thailand;THA;16301,54;16797,77;17420,57;18086,51;18459,99
Tajikistan;TJK;2821,66;2942,65;3089,53;3234,72;3379,75
Latin America & the Caribbean (IDA & IBRD countries);TLA;16221,78;16071,32;16235,36;16348,34;16320,58
Timor-Leste;TLS;3297,87;3344,57;3145,48;3051,68;3552,6
Middle East & North Africa (IDA & IBRD countries);TMN;10267,53;10832,31;10984,2;10843,36;10703,94
Tonga;TON;5949,02;6317,86;6472,41;6416,4;6383,27
South Asia (IDA & IBRD);TSA;5139,88;5467,82;5769,18;6048,42;6224,51
Sub-Saharan Africa (IDA & IBRD countries);TSS;3809,23;3770,87;3775,28;3779,49;3782,33
Trinidad and Tobago;TTO;29182,57;27201,47;26447,59;26272,91;26175,84
Tunisia;TUN;10519,74;10524,99;10605,26;10763,79;10755,61
Turkey;TUR;26041,53;26471,29;28007,97;28410,11;28289,09
Tuvalu;TUV;3723,2;3793,13;3898,07;3947,6;4281,4
Tanzania;TZA;2354,14;2441,57;2530,44;2589,98;2660,42
Uganda;UGA;2054,09;2075,1;2074,86;2122,26;2187,46
Ukraine;UKR;11237,07;11534,64;11871,12;12338;12810,29
Upper middle income;UMC;14693,46;15189,57;15808,46;16374,48;16850,68
Uruguay;URY;20588,39;20862,17;21324,85;21590,83;21561,06
United States;USA;58509,58;59043,21;60062,22;61498,37;62530,39
Uzbekistan;UZB;6086,72;6346,33;6518,8;6755,48;6998,71
St. Vincent and the Grenadines;VCT;11971,99;12164,49;12245,01;12466,42;12485,18
Vanuatu;VUT;3037,78;3061,79;3116,65;3128,47;3153,02
World;WLD;15516,99;15837,38;16253,39;16636,42;16911,19
Samoa;WSM;5997,01;6445,97;6486,09;6327,06;6521,46
Kosovo;XKX;9723,56;10179,97;10530,48;10895,29;11367,75
South Africa;ZAF;12840,04;12703,82;12703,42;12630,75;12481,81
Zambia;ZMB;3443,56;3467,88;3485,01;3521,52;3470,45
Zimbabwe;ZWE;2958,21;2934,73;3028,25;3130,03;2835,95
